"H40-BPAR-6","CASEID","FAM-1B","FAM-2A","HGC-MOTHER","HGC-FATHER","FAM-28A","R_REL-1_COL","R_REL-3","Q9-72","Q3-3","Q3-4","MIL-6","Q13-5","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","URBAN-RURAL","MARSTAT-KEY","FAMSIZE","TNFI_TRUNC","POVSTATUS","DELIN-1","DELIN-3","DELIN-4","DELIN-5","DELIN-6","DELIN-7","DELIN-8","DELIN-9","DELIN-10","DELIN-11","DELIN-12","DELIN-13","DELIN-14","DELIN-15","DELIN-18","POLICE-1","POLICE-6","POLICE-7","Q12-4","DRUG-22","DRUG-26","DRUG-32"
-4,1,20,1,8,8,1,7,5,0,12,12,0,4620,5,3,2,1,0,5,30000,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,2,20,2,5,8,8,7,5,0,9,9,0,4000,5,3,2,1,0,5,20000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
1,3,17,1,10,12,3,7,2,0,11,10,0,-4,5,3,2,1,0,5,22390,0,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-4,-4,0,1,0,0
-4,4,16,1,11,12,3,7,1,0,11,9,-4,-4,5,3,2,1,0,5,22390,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,1,0,0
-4,5,19,1,12,12,1,7,1,0,14,13,0,2200,1,3,1,1,0,4,36000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,2,0,0,0
1,6,18,1,12,12,1,7,1,0,13,12,0,1400,1,3,1,1,0,4,35000,0,-4,-4,1,0,0,2,0,0,0,0,6,2,3,0,0,0,-4,-4,3,1,0,0
1,7,14,1,12,12,1,7,2,0,9,8,-4,-4,1,3,1,1,0,3,8502,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-4,-4,2,0,0,0
0,8,20,1,9,6,7,9,2,1,12,12,0,200,6,3,2,1,1,3,7227,0,-4,-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4,-4,2,0,0,0
1,9,15,1,12,10,4,7,5,0,10,9,-4,-4,1,3,1,1,0,6,17000,0,0,3,0,2,0,0,0,0,2,0,3,0,0,0,1,1,0,0,6,1,0,-3
-4,10,18,1,12,12,3,7,2,0,10,9,0,0,6,3,2,1,0,3,3548,1,-4,-4,0,0,2,1,0,0,0,0,3,6,0,1,0,0,-4,-4,2,1,0,0
1,11,19,1,12,12,1,7,5,0,14,-3,0,2900,1,3,1,1,0,3,12000,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,0,0,0
-4,12,19,1,15,12,3,7,5,0,14,13,0,2021,5,3,2,1,0,3,25000,0,-4,-4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-4,-4,0,0,0,0
1,13,20,1,12,16,2,7,2,0,15,14,0,2000,1,3,1,1,0,5,20000,0,-4,-4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,1,0,-3
1,14,15,1,12,12,2,7,5,0,10,9,-4,-4,5,3,2,1,0,5,-2,-3,0,5,2,0,0,0,0,0,2,0,5,1,1,0,1,1,0,0,2,1,0,0
1,15,15,1,12,12,1,7,5,0,9,8,-4,-4,1,3,1,1,0,4,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,2,0,0,0
1,16,20,1,12,12,3,7,2,0,12,12,0,8200,5,3,2,1,0,4,48000,0,-4,-4,0,0,1,0,0,0,0,0,5,4,2,0,0,1,0,0,6,1,0,0
1,17,22,1,12,15,2,9,2,0,13,13,0,10000,1,3,1,1,0,2,15000,0,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-3,-1,-1,-1,-1,1,0,0,6,1,0,0
1,18,21,1,12,16,2,9,2,0,13,12,0,4500,1,3,1,1,0,1,4510,0,-4,-4,0,0,0,0,5,0,0,0,6,4,6,0,0,1,0,0,0,1,1,0
1,19,21,1,10,12,3,7,1,0,12,12,0,4000,5,3,2,1,1,2,9000,0,-4,-4,0,0,1,1,0,0,0,1,2,0,0,0,0,0,-4,-4,2,0,0,0
1,20,19,1,12,18,2,7,3,0,14,13,0,1200,5,3,2,1,0,5,50000,0,-4,-4,1,0,0,1,0,0,0,0,5,0,0,0,1,0,-4,-4,2,0,0,0
1,21,17,1,12,18,2,7,2,0,12,11,0,-4,5,3,2,1,0,5,40000,0,-4,-4,2,0,2,0,0,0,1,0,5,0,1,0,0,1,0,0,3,1,0,0
1,22,16,1,12,12,1,1,4,0,11,10,-4,-4,5,3,2,1,0,4,18000,0,1,5,1,1,0,0,0,0,1,0,6,3,6,0,1,0,-4,-4,1,1,0,-3
-4,23,20,1,12,12,2,7,1,0,13,13,0,4600,1,3,1,1,0,5,44000,0,-4,-4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-4,-4,0,-5,-5,-5
-4,24,18,1,12,12,2,7,1,0,12,11,0,2100,1,3,1,1,0,5,44000,0,-4,-4,3,4,0,1,0,2,5,4,0,0,0,0,2,0,-4,-4,4,-5,-5,-5
1,25,19,1,14,16,1,0,1,0,14,13,0,322,5,3,2,1,0,3,-2,-3,-4,-4,1,0,1,0,0,0,0,0,6,4,0,0,0,0,-4,-4,1,1,1,0
-4,26,16,1,16,17,2,3,3,0,11,10,-4,-4,1,3,1,1,0,4,30000,0,0,5,1,0,2,0,0,0,3,0,3,0,1,0,0,0,-4,-4,2,0,0,0
1,27,18,1,14,20,1,1,4,0,13,12,0,2165,5,3,2,1,0,4,20000,0,-4,-4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-4,-4,2,0,0,0
-4,28,15,1,14,20,1,9,4,0,9,8,-4,0,5,3,2,1,0,4,20000,0,0,4,1,0,4,4,0,0,0,0,5,1,0,0,1,0,-4,-4,1,1,1,-3
1,29,18,2,0,4,1,9,5,0,12,12,0,6760,5,3,2,1,0,4,24200,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
1,30,20,2,-2,6,1,9,2,0,13,12,0,4811,5,3,2,1,0,4,24200,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,-3,-3,-3
1,31,15,1,9,3,2,7,2,0,9,8,-4,-4,4,1,1,1,0,4,5088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
1,32,21,2,12,12,2,7,1,0,15,14,0,200,8,1,2,1,0,5,22500,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,1,0,0
